tieu_de,gia_ban,don_gia,dien_tich,dia_chi,mo_ta,dien_thoai,loai_hinh,dien_tich_dat,dien_tich_su_dung,gia_m2,giay_to_phap_ly,so_phong_ngu,so_phong_ve_sinh,tong_so_tang,tinh_trang_noi_that,huong_cua_chinh,dac_diem,chieu_ngang,chieu_dai,ma_can,ten_phan_khu_lo,bieu_do_gia
🍀VÂN KIỀU AN CƯ🍀 40m2 - Hẻm Ô Tô - Gần mặt tiền - Ngang to 4.5m,"3,85 tỷ","106,94 triệu/m²",36 m²,"Đường Lê Quang Định, Phường 7, Quận Bình Thạnh, Tp Hồ Chí Minh (Phường Gia Định, TP Hồ Chí Minh mới)","🍀VÂN KIỀU AN CƯ🍀

🏡 Nhà Lê Quang Định P5 – Giáp Quận 1 – Vài Bước Ra Hẻm Ô Tô

✨ Gần mặt tiền – Khu dân trí cao – Pháp lý chuẩn – Giá dưới 4 tỷ hiếm có

📐 4.5m x 8m – 2 Tầng – Chỉ 3.85 Tỷ

🔹 Vị trí: Đường Lê Quang Định, Phường 5, Quận Bình Thạnh – giáp Quận 1, di chuyển cực nhanh vào trung tâm
🔹 Gần Bệnh viện Ung Bướu, Bệnh viện Gia Định, sân bay, các trường Đại học lớn
🔹 Kết cấu: 1 trệt 1 lầu – 2 phòng ngủ master – 2 WC – thiết kế rộng rãi thoáng mát
🔹 Hẻm: Cách hẻm ô tô vài bước chân – hẻm sạch sẽ, an ninh, dân trí cao
🔹 Pháp lý: Sổ hồng riêng – hoàn công đủ – công chứng ngay",,"Nhà ngõ, hẻm",36 m²,,"106,94 triệu/m²",Đã có sổ,2 phòng,2 phòng,2,Nội thất đầy đủ,,Nhà nở hậu,4.5 m,8 m,,,"[134.04, 125.8, 125.8, 125.8, 138.64, 138.64, 147.14, 164.14, 163.79, 163.79, 140.91, 140.91, 140.91]"
"9.xty,Nhà Hẻm Xe Hơi,Xây Mới Khu VIP giáp Phạm Văn Đồng,62m2 4PN","9,79 tỷ","157,90 triệu/m²",62 m²,"Đường Phạm Văn Đồng, Phường 13, Quận Bình Thạnh, Tp Hồ Chí Minh (Phường Bình Lợi Trung, TP Hồ Chí Minh mới)","CHỈ 9.XTY - NHÀ MỚI KENG,XE HƠI NGỦ NHÀ GIÁP BÌNH THẠNH,TÂN BÌNH,GẦN SÂN BAY TÂN SƠN NHẤT - THỰC TẾ 62M2 4 TẦNG 4PN - HÀNG XÓM DÂN TRÍ , KHU PHÂN LÔ ĐỒNG BỘ ,THÔNG TỨ TUNG RA PHẠM VĂN ĐỒNG , CHỦ THIỆN CHÍ TẶNG FUILL NỘI THẤT NHƯ HÌNH 
☎️ Bấm *** ALO ngay cho Quân
👉 Nhận Ký, Gửi - Tư Vấn,Hỗ trợ tìm Nhà Phố miễn phí các Quận Trung Tâm TP.HCM",0909761320,"Nhà ngõ, hẻm",62 m²,,"157,90 triệu/m²",,4 phòng,,,,,,,,,,"[133.33, 135.54, 130.95, 130.02, 130.02, 136.36, 141.67, 140.35, 142.86, 142.86, 140, 140, 140]"
XE HƠI NGỦ TRONG NHÀ- NGANG 7M - HIẾM - NƠ TRANG LONG P13 BT - 54M (7x,"7,2 tỷ","133,33 triệu/m²",54 m²,"Đường Nơ Trang Long, Phường 13, Quận Bình Thạnh, Tp Hồ Chí Minh (Phường Bình Lợi Trung, TP Hồ Chí Minh mới)","XE HƠI NGỦ TRONG NHÀ- NGANG 7M - HIẾM - NƠ TRANG LONG P13 BT - 54M (7x7.7) VUÔNG NỞ HẬU NHẸ - 2 TẦNG GIẢM SÂU 500 tr CÒN 7.2 TỶ.
🍀 Tiện qua Phú Nhuận- Gò Vấp- Quận 1- Tân Bình - Sân bay..
🍀 xung quanh không thiếu thứ gì.",0909983786,"Nhà ngõ, hẻm",54 m²,,"133,33 triệu/m²",Đã có sổ,3 phòng,2 phòng,2,Hoàn thiện cơ bản,,Hẻm xe hơi,7 m,7.7 m,,,"[168.37, 168.37, 120.71, 120.71, 124.24, 124.53, 117.12, 117.12, 143.52, 123.86, 143.64, 151.05, 151.05]"
🛎️ NHÀ LỚN HẺM ÔTÔ NGAY HÀNG XANH – TIỆN XÂY MỚI – CHỈ 8.5 TỶ,"8,5 tỷ","102,41 triệu/m²",83 m²,"Đường Xô Viết Nghệ Tĩnh, Phường 21, Quận Bình Thạnh, Tp Hồ Chí Minh (Phường Thạnh Mỹ Tây, TP Hồ Chí Minh mới)","#e45
🛎️ NHÀ LỚN HẺM ÔTÔ NGAY HÀNG XANH – TIỆN XÂY MỚI – CHỈ 8.5 TỶ

DT: 7,35m x 11,35m, trệt + gác, 3P.Ngủ, 2WC
📍 Xô Viết Nghệ Tĩnh, P.21, Bình Thạnh

Hẻm xe hơi đỗ cửa, gần Ngã tư Hàng Xanh, tiện ích đủ

Sổ hồng riêng, công chứng nhanh
☎️Zalo *** Tùng",0969415765,"Nhà ngõ, hẻm",83 m²,,"102,41 triệu/m²",Đã có sổ,3 phòng,,,,,,7.5 m,11.5 m,,,"[159.22, 159.22, 157.45, 157.45, 135.08, 122.27, 135.34, 144.29, 122.99, 131.09, 130.36, 130.36, 150.91]"
Nhà hẻm cách đường mặt tiền 20m,"2,85 tỷ","158,33 triệu/m²",18 m²,"Đường Chu Văn An, Phường 12, Quận Bình Thạnh, Tp Hồ Chí Minh (Phường Bình Thạnh, TP Hồ Chí Minh mới)","Nhà hẻm cách đường mặt tiền 20m
Nhà ở khu vực cao không ngập lụt, khu dân cư yên tĩnh,... 
Gần trường học cán bộ TPHCM, siêu thị, chợ,.... 
Giá 2 tỷ 850 còn thương lượng
Sổ hồng chính chủ 
LH ***",,"Nhà ngõ, hẻm",18 m²,18 m²,"158,33 triệu/m²",Đã có sổ,2 phòng,1 phòng,,,,Hiện trạng khác,3 m,6 m,,,"[132.67, 132.67, 169.64, 169.64, 133.33, 133.33, 148.64, 148.64, 136.36, 156.25, 143.79, 171.74, 171.74]"
BÁN NHÀ 2 TẦNG HẺM BẠCH ĐẰNG,13 tỷ,"108,33 triệu/m²",120 m²,"Đường Bạch Đằng, Phường 15, Quận Bình Thạnh, Tp Hồ Chí Minh (Phường Gia Định, TP Hồ Chí Minh mới)","Nhà hẻm Bạch Đằng 
Dân cư an ninh, yên tĩnh
Gần chợ, trường học, 
Pháp lý chuẩn, sổ sẵn",0974080460,"Nhà ngõ, hẻm",120 m²,166 m²,"108,33 triệu/m²",Đã có sổ,5 phòng,3 phòng,2,,,,5.6 m,21 m,,,"[128.79, 149.48, 107.78, 107.78, 107.78, 107.78, 107.78, 107.78, 107.78, 107.78, 107.78, 107.78, 107.78]"
Bán nhà 50m,"11,2 tỷ","188,55 triệu/m²",59.4 m²,"Đường Nguyễn Xí, Phường 26, Quận Bình Thạnh, Tp Hồ Chí Minh (Phường Bình Thạnh, TP Hồ Chí Minh mới)","👉Nhà 3 TẦNG -HẺM XE HƠI - gía:11,2 TỶ 
👉Có giá tốt cho khách đầu năm 
🏡 Vị trí đắc địa: Bình Thạnh - Khu dân trí, hiếm nhà bán.
✅Hẻm trước nhà 8m xe tải tránh nhau. Đi về Bình Thạnh và Quận 1, Phú Nhuận, Sân Bay rất thuận tiện.
✅ Gần 10 trường Đại học lớn. Đh Ngoại Thường. Đh Giao thông. Đh Hutech. Đh Quốc tế Hồng Bàng. Đh Văn Lang ... 
✅Xung quanh đầy đủ tiện ích: chợ, siêu thị Bách Hoá Xanh... trường học cấp 1.2.3 Đại Học, Ngân hàng…full tiện ích.
-----------,🏆----------
🇻🇳Thông tin căn nhà:

✅Diện tích sử dụng 3 tầng : hơn 59,4 m2
✅Xây dựng trệt lửng 2 tầng lầu, hoàn công đầy đủ: Đầy đủ công năng gồm: phòng khách,phòng bếp,4 phòng ngủ. 4 vệ sinh. Ban công
👉Giá:11,2 ti TL",0777739878,"Nhà ngõ, hẻm",59.4 m²,59.4 m²,"188,55 triệu/m²",Đã có sổ,4 phòng,4 phòng,3,,,Hẻm xe hơi,4.2 m,11.3 m,,,"[139.11, 139.11, 129.66, 129.66, 120.58, 120.58, 120.58, 107.48, 107.48, 162, 157.14, 176.92, 176.92]"
❌ GIẢM GẤP 200TR ❌ Nhà đẹp sát City Garden Bình Thạnh,"4,58 tỷ","176,15 triệu/m²",26 m²,"Đường Ngô Tất Tố, Phường 21, Quận Bình Thạnh, Tp Hồ Chí Minh (Phường Thạnh Mỹ Tây, TP Hồ Chí Minh mới)","🚨 GIÁ *** KHU 🚨
Nhà đẹp P21 Bình Thạnh – 2 tầng – tặng FULL nội thất – 4.58 🧄",0965263557,Nhà phố liền kề,26 m²,,"176,15 triệu/m²",Đã có sổ,2 phòng,2 phòng,,Nội thất đầy đủ,,,,,,,[]
"NHÀ 5LẦU MẶT TIỀN ĐƯỜNG NGUYỄN VĂN THƯƠNG,P25,BT.Đoạn KD sầm uất, 9pn.","25,8 tỷ","322,50 triệu/m²",80 m²,"89, Đường Nguyễn Văn Thương, Phường 25, Quận Bình Thạnh, Tp Hồ Chí Minh (Phường Thạnh Mỹ Tây, TP Hồ Chí Minh mới)","$-) 25,8ty TL - BÁN TÒA NHÀ VP, MẶT TIỀN SỐ 89 NGUYỄN VĂN THƯƠNG, P25 , BÌNH THẠNH – Khu văn phòng cty, kinh doanh sầm uất, kế TTTM Pearl Plaza, Ga Metr.
/-rose trả phí môi giới : 1% 

✅ Diện Tích: 4 x 20m ( ban công trước sau )

✅ Dtcn : 62.6m²

✅ dt sàn hoàn công : 315m²

✅ Kết Cấu: 5 Tầng gồm 10phòng suốt + 5wc – có thang máy! Thiết Kế Hiện Đại, Thích Hợp Làm Văn Phòng cty , trung tâm Anh Ngữ , Căn Hộ DV , Spa… khai thác cho thuê doanh thu 850tr/năm.

✅ Vị Trí Đẹp – kế TTTM Pearl Plaza, Ga Metro Trường Đại Học Hutech, GTVT, Ngoại Thương, Hồng Bàng … Cách Trung Tâm Q1 Chỉ 5 Phút

✅ Khu Kinh Doanh Sầm Uất – Lý Tưởng Để Ở Kết Hợp Khai Thác Dòng Tiền Cho Thuê…

$-) Giá Bán: 25,8ty tl ( hỗ trợ mua Bank )",0969667879,"Nhà mặt phố, mặt tiền",80 m²,320 m²,"322,50 triệu/m²",Đã có sổ,9 phòng,5 phòng,5,Nội thất đầy đủ,Đông,,4 m,20 m,,,[]
Hẻm 6m ô tô ngủ trong nhà- 68m2 - KDC Sạch đẹp. NHỈNH 11 TỶ TL,"11,3 tỷ","166,18 triệu/m²",68 m²,"Đường Bùi Đình Tuý, Phường 24, Quận Bình Thạnh, Tp Hồ Chí Minh (Phường Bình Thạnh, TP Hồ Chí Minh mới)","Bán nhà Bình Thạnh - 68m2 x 4 TẦNG BTCT -KDC An ninh, Sạch đẹp. Nhỉnh 11 tỷ 
 Dt: 4,m x 17.5m. Kc: trệt, 2 lầu + st, giếng trời thoáng mát. Chính chủ xây ở nên kết cấu rất chắc chắn.
 Vị trí: Khu phân lô an ninh, sạch đẹp. Phù hợp ở và kinh doanh, cho thuê.
 Sổ vuông đẹp. Không quy hoạch, lộ giới.
* Thông tin thật, thương lượng chính chủ",,"Nhà ngõ, hẻm",68 m²,163 m²,"166,18 triệu/m²",Đã có sổ,4 phòng,,4,,,Hẻm xe hơi,4 m,17.5 m,,,"[125, 158.23, 145.64, 117.23, 130.38, 130.38, 128.85, 128.85, 153.28, 161.03]"
