tieu_de,gia_ban,don_gia,dien_tich,dia_chi,mo_ta,dien_thoai,loai_hinh,dien_tich_dat,dien_tich_su_dung,gia_m2,giay_to_phap_ly,so_phong_ngu,so_phong_ve_sinh,tong_so_tang,tinh_trang_noi_that,huong_cua_chinh,dac_diem,chieu_ngang,chieu_dai,ma_can,ten_phan_khu_lo,bieu_do_gia
"Bán nhà 99m2 , hẻm xe hơi thông, Nguyễn Tư Giản, Gò Vấp, chỉ 8,6 tỷ","8,6 tỷ","86,87 triệu/m²",99 m²,"Đường Nguyễn Tư Giản, Phường 12, Quận Gò Vấp, Tp Hồ Chí Minh (Phường An Hội Tây, TP Hồ Chí Minh mới)","Bán nhà 1 đời chủ, gần mặt tiền Nguyễn Tư Giản , hẻm xe hơi thông.
- Diện tích 5,2 x 18m , nở hậu.
- Kết cấu 2 tầng BTCT, gồm sân để xe rộng rãi, phòng khách, bếp. Có 3 phòng ngủ ( có phòng ngủ trệt cho người già). Bán công, giếng trời thoáng mát.
- Khu an ninh, dân trí cao.
- Tiện ích xung quanh đầy đủ, gần Emart 2, trường học, UB, nhà ga T3,..
- Sổ hồng chính chủ, hoàn công đủ, công chứng nhanh.
Liên hệ em để được tư vấn và hỗ trợ xem nhà miễn phí nhé.
Ms 5 226ntc",,"Nhà ngõ, hẻm",99 m²,190 m²,"86,87 triệu/m²",Đã có sổ,3 phòng,3 phòng,2,,,Hẻm xe hơi,5.2 m,18 m,,,"[78.35, 113.71, 113.71, 110.29, 112, 114.06, 114.06, 123.48, 128.41, 128.41, 137.83, 136.29, 136.29]"
bán nhà hẻm xe hơi 1/ có thang máy 4x23 đường Lê Đức Thọ p16,"14,2 tỷ","154,35 triệu/m²",92 m²,"Lê Đức Thọ, Phường 16, Quận Gò Vấp, Tp Hồ Chí Minh (Phường An Hội Đông, TP Hồ Chí Minh mới)","🔥🍀SIÊU PHẨM NHÀ PHỐ CAO CẤP CÓ THANG MÁY, XE HƠI NGỦ TRONG NHÀ TẠI GÒ VẤP.

📍 Diện tích: 4m x 23. Hướng Đông Nam.

📍 Kết cấu: 1 trệt lửng 4 lầu. Nhà xây mới, hoàn công đầy đủ.

📍 Công năng: Gara xe hơi, phòng khách, bếp, 4 phòng ngủ, phòng sinh hoạt chung, phòng thư giãn, phòng thờ, sân thượng trước sau.
📍 Nhà có trang bị thang máy, full nội thất. 

🌸 Lê Đức Thọ, P An Hội Đông (P16 Gò Vấp), Tp HCM. Hẻm xe hơi, xe hơi ngủ trong nhà.
🌸 Gần trường Phan Tây Hồ - Phan Chu Trinh.

💰 14,2 tỷ (thương lượng )",0983990882,"Nhà ngõ, hẻm",92 m²,,"154,35 triệu/m²",Đã có sổ,4 phòng,Nhiều hơn 6 phòng,,Nội thất cao cấp,Đông Nam,Hẻm xe hơi,4 m,23 m,,,"[107.14, 107.86, 107.86, 110.94, 110.94, 107.14, 109.09, 109.09, 109.09, 110.61, 110.61, 110.61, 110.61]"
"nhà mặt tiền hẻm 872/Quang Trung 4x18 trệt 3 lầu 4pn giá 10,9tỷ TL","10,9 tỷ","151,39 triệu/m²",72 m²,"Quang Trung, Phường 8, Quận Gò Vấp, Tp Hồ Chí Minh (Phường Thông Tây Hội, TP Hồ Chí Minh mới)","MẶT TIỀN HẺM XE HƠI THÔNG, KINH DOANH
⚜️Vị Trí: Quang Trung, P.TTH, (p8Gò Vấp) HCM
======================
❤️Chỉ có 10 tỷ 9 thương lượng

⚜️Diện tích: 4m ❌ 18m
⚜️Kết Cấu: trệt, 3 lầu, Gồm gara xe hơi, phòng khách, bếp, 4 phòng ngủ, 5wc, phòng xông hơi, khu thờ, sân thượng rộng rãi!!!
 
🎁Tặng nội thất theo nhà

⚜️Hướng Tây Bắc
⚜️Đường 6m xe hơi thông, nhiều tiện ích xung quanh, tiện vừa ở vừa kinh doanh đa ngành nghề
Video : ***",0983990882,"Nhà ngõ, hẻm",72 m²,,"151,39 triệu/m²",Đã có sổ,4 phòng,5 phòng,,,Tây Bắc,Hẻm xe hơi,4 m,18 m,,,"[108.33, 107.55, 113.34, 113, 116.67, 116.67, 112.39, 116.63, 116.63, 117.15, 117.15, 117.15, 117.15]"
mặt tiền hẻm 125/ chợ căn cứ 26 ngang 11m đang có hợp đồng thuê 60tr/t,"25,5 tỷ",204 triệu/m²,125 m²,"Lê Đức Thọ, Phường 17, Quận Gò Vấp, Tp Hồ Chí Minh (Phường Gò Vấp, TP Hồ Chí Minh mới)","Bán căn nhà mặt tiền hẻm 125/ lê đức thọ ngang 11m nhà 1 lầu đang cho thuê 60tr/tháng
Giá bán 25,5tỷ TL nhẹ
Hướng Tây
Vị trí trung tâm Gò Vấp ngay chợ căn cứ đường 12m thông",0983990882,"Nhà mặt phố, mặt tiền",125 m²,,204 triệu/m²,Đã có sổ,2 phòng,,,,,Nhà chưa hoàn công,11 m,12.5 m,,,"[150, 150, 126.44, 126.44, 142.86, 140, 150, 150, 150, 150, 150, 150, 150]"
NHÀ CHÍNH CHỦ KHAI XUÂN RINH NHÀ – TẶNG NGAY IPHONE 17 PROMAX 256GB,"5,379 tỷ","170,76 triệu/m²",31.5 m²,"Đường Nguyễn Thái Sơn, Phường 5, Quận Gò Vấp, Tp Hồ Chí Minh (Phường An Nhơn, TP Hồ Chí Minh mới)","Chốt trong tháng Giêng – vừa có nhà mới, vừa có điện thoại xịn – quá đã luôn Ace ơi!
📍 Khu VIP Gò Vấp
🏠 Hẻm 566 Nguyễn Thái Sơn 3m x 11m – Tổng DTSD: 132m²
✨ Kết cấu: Trệt + 3 lầu đúc – 5PN
🎁 Full nội thất cao cấp, tặng kèm:
✅Camera an ninh
✅Cửa cuốn mở từ xa
✅Smart Tivi 55 inch
📌 Vị trí vàng:
Ra sân bay chỉ 7 phút
Cách ĐH Văn Lang 200m
Gần ĐH Công Nghiệp, ĐH Gia Định
Gần trường học các cấp, nhà thờ Bến Hải
Gần chợ, Siêu thị, bệnh viện
📜 Pháp lý chuẩn – Sổ hồng riêng – Hoàn công đầy đủ - Nhà trống - Sổ sẵn công chứng ngay
💰 Chỉ 5.379 tỷ – còn bớt lộc cho khách thiện chí
📞 Liên hệ ngay: *** – Ngọc Anh
Chốt sớm – quà lớn – nhà đẹp – vị trí thuận lợi! 🚀",,"Nhà ngõ, hẻm",31.5 m²,132 m²,"170,76 triệu/m²",Đã có sổ,5 phòng,,3,Nội thất cao cấp,Tây Nam,Hiện trạng khác,3 m,11 m,,,"[142.61, 116.72, 109.88, 104.76, 110.46, 108.52, 116.59, 116.59]"
🏡 Bán nhà ngay Công viên Làng Hoa Gò Vấp — hẻm nhựa xe hơi 7 chỗ,"7,4 tỷ","154,17 triệu/m²",48 m²,"Đường Nguyễn Văn Khối, Phường 8, Quận Gò Vấp, Tp Hồ Chí Minh (Phường Thông Tây Hội, TP Hồ Chí Minh mới)","🔹 DT: 4 × 12 m
🔹 Kết cấu: 1 trệt • 1 lửng • 2 lầu • sân thượng • tum BTCT
🔹 6 phòng ngủ (4 phòng khép kín)
🔹 Phòng thờ + phòng làm việc riêng
🔹 Khu dân trí cao, an ninh, thoáng mát

✔️ Phù hợp ở gia đình lớn hoặc đầu tư cho thuê
✔️ Gần chợ, trường học, siêu thị, trục đường lớn

💰 Giá bán: 7,4 tỷ (thương lượng)

📞 Liên hệ: C. Tám — ***",0938656918,"Nhà ngõ, hẻm",48 m²,,"154,17 triệu/m²",Đã có sổ,6 phòng,4 phòng,3,Nội thất đầy đủ,,Hẻm xe hơi,4 m,12 m,,,"[116.44, 109.76, 109.76, 108.81, 122.06, 116.67, 116.67, 103.29, 119.45, 117.86, 119.34]"
"Kẹt tiền bán gấp CHDV 20p, DT khủng 110tr/tháng","13,9 tỷ",139 triệu/m²,100 m²,"467/108/6, Đường Lê Đức Thọ, Phường 16, Quận Gò Vấp, Tp Hồ Chí Minh (Phường An Hội Đông, TP Hồ Chí Minh mới)","Chính chủ bán chdv tại địa chỉ 467/108/6 lê đức thọ , p16 , gò vấp mặt tiền 4m .
Căn hộ dịch vụ mới cải tạo , có 20 phòng ngủ , 20 wc , 2 khu máy giặc , có thang máy . 
Diện tích 100m2 , có 83m2 thổ cư , diện tích xây dựng thực tế 550m2
Nhà full nội thất + máy lạnh 
Dòng tiền hàng tháng : 110 triệu ( đã thuê full phòng , hợp đồng còn 1 năm ) , dòng tiền tới 10% năm
Giá bán : 13.900.000.000đ có thương lượng ngay trung tâm gò vấp
Kế bên cityland , xung quanh trường đại học rất nhiều",0944499925,"Nhà mặt phố, mặt tiền",100 m²,550 m²,139 triệu/m²,Đã có sổ,nhiều hơn 10 phòng,Nhiều hơn 6 phòng,6,Nội thất cao cấp,Tây Nam,,5 m,20 m,,,"[92.71, 92.71, 92.71, 92.71, 92.71, 92.71, 92.71, 92.71, 92.71, 92.71, 92.71]"
siêu phẩm Nhà phố 50m Đường Lê Đức Thọ p13 GV Giá 7ty75 TL,"7,75 tỷ","161,46 triệu/m²",48 m²,"Đường Lê Đức Thọ, Phường 13, Quận Gò Vấp, Tp Hồ Chí Minh (Phường An Hội Đông, TP Hồ Chí Minh mới)","LÊN SÓNG EM NHÀ PHỐ NHỈNH 7 ĐỒNG XE HƠI NGỦ TRONG NHÀ 
•••—————••**•—————•••
- Giá : 7.75 Tỉ TL
- Vị Trí : Lê Đức Thọ - P. An Hội Tây - Gò Vấp - HCM
- Hướng : Đông Nam 
- Kết cấu : 1 trệt 1 lửng 2 lầu sân thượng gồm gara xe hơi phòng khách bếp 4 pn phòng thờ phòng giặt sân thượng 
- Đường : 6m xe hơi ngủ trong nhà
- Diện tích : Ngang 4m dài 12m
- Pháp lý : Sổ hồng riêng
- Nội thất bàn giao : Full option 
 ☎️ Hotline: *** Tùng phát xem nhà",0936377539,"Nhà mặt phố, mặt tiền",48 m²,48 m²,"161,46 triệu/m²",Đã có sổ,4 phòng,3 phòng,,Nội thất cao cấp,Đông Nam,Hẻm xe hơi,4 m,12 m,,,"[86.08, 86.08, 86.08, 86.08, 86.08, 86.08, 86.08, 86.08, 86.08, 86.08, 86.08, 86.08, 86.08]"
"Nhà Lê Văn Thọ 3 Phòng ngủ, 3 Tolet , Ban công rộng thoáng có nội thất","4,59 tỷ","164,52 triệu/m²",27.9 m²,"549/43/3 , Lê Văn Thọ, Phường 14, Quận Gò Vấp, Tp Hồ Chí Minh (Phường An Hội Tây, TP Hồ Chí Minh mới)","🔥🔥Lên sàn căn nhà Lê Văn Thọ,ngay Chợ Thạnh Đà,
 🌹THÂN GỬI AE chạy phụ, HH 50TR nhận đủ khi cọc
📍 549/43/3 Lê Văn Thọ - P.An Hội Tây (P.14 cũ)- HCM
✅DT: 3.1m x 9m. 1 trệt 2 lầu. Công năng gồm: PK, bếp, 3PN, 3 toilet, ban công rộng thoáng.
✅Hẻm trước nhà 2.5m thông, cách hẻm xe tải thông chỉ 10m, xung quanh tiện ích đầy đủ, chợ,siêu thị trường học... 
✅Hướng Tây Bắc
✅SHR công chứng mua bán trong ngày
🎁Tặng full nội thất như hình
💰Giá TL- Hỗ trợ vay ngân hàng",0909175522,"Nhà ngõ, hẻm",27.9 m²,,"164,52 triệu/m²",Đã có sổ,3 phòng,3 phòng,3,Nội thất đầy đủ,Tây Bắc,,3.1 m,9 m,,,"[105.71, 108.33, 105.8, 104, 104, 107.82, 114.29, 114.29, 120.59, 122.49, 122.49, 122.49, 122.49]"
Nhà đẹp ở ngay hẻm xe hơi Phạm Văn Chiêu Gò Vấp,"6,8 tỷ","161,90 triệu/m²",42 m²,"Đường Phạm Văn Chiêu, Phường 9, Quận Gò Vấp, Tp Hồ Chí Minh (Phường Thông Tây Hội, TP Hồ Chí Minh mới)","🔥🔥 GẤP BÁN TRƯỚC TẾT 👉 GIẢM CÒN 6.8 T.Ỷ.

🪭🪭 NHÀ ĐẸP ĐÓN TẾT - HXH PHẠM VĂN CHIÊU GÒ VẤP 

Dt: 4.2 ❌ 10m
Kết cấu: Trệt 2 lầu sân thượng, 3PN | 4WC – thiết kế hiện đại
🚗 Hẻm 6m, ô tô ngủ trong nhà
✨ Nhà mới, full nội thất, về ở ngay
🏦 Hỗ trợ vay >5 tỷ",,"Nhà ngõ, hẻm",42 m²,,"161,90 triệu/m²",Đã có sổ,3 phòng,4 phòng,4,,,Hẻm xe hơi,4.2 m,10 m,,,"[113.48, 110.81, 110.81, 115.67, 115.67, 119.88, 118.11, 122.8, 125.53, 125.53, 125, 125, 125]"
