tieu_de,gia_ban,don_gia,dien_tich,dia_chi,mo_ta,dien_thoai,loai_hinh,dien_tich_dat,dien_tich_su_dung,gia_m2,giay_to_phap_ly,so_phong_ngu,so_phong_ve_sinh,tong_so_tang,tinh_trang_noi_that,huong_cua_chinh,dac_diem,chieu_ngang,chieu_dai,ma_can,ten_phan_khu_lo,bieu_do_gia
Nhà cần bán mặt tiền đường,"7,39 tỷ","164,22 triệu/m²",45 m²,"23/, Đường Phan Đăng Lưu, Phường 7, Quận Phú Nhuận, Tp Hồ Chí Minh (Phường Cầu Kiệu, TP Hồ Chí Minh mới)","Ngang 4,5 Dài 10
Nhà 1 lầu
Miễn quảng cáo đăng tin
Anh chị em có khách nhắn mình",0908955383,"Nhà ngõ, hẻm",45 m²,90 m²,"164,22 triệu/m²",Đã có sổ,2 phòng,,,,,Hẻm xe hơi,4.5 m,10 m,,,"[172.4, 172.4, 172.4, 172.4, 172.4, 186.92, 186.92, 186.92, 186.92, 186.92, 186.92, 186.92, 186.92]"
PHÚ NHUẬN HẺM XE HƠI KHUVIP PHAN XÍCH LONG - 5 TẦNG SẴN DÒNG TIỀN,11 tỷ,"244,44 triệu/m²",45 m²,"Đường Phan Xích Long, Phường 7, Quận Phú Nhuận, Tp Hồ Chí Minh (Phường Cầu Kiệu, TP Hồ Chí Minh mới)","🏡 NHÀ PHÚ NHUẬN - PHƯỜNG CẦU KIỆU
HẺM XE HƠI KHUVIP PHAN XÍCH LONG
- Diện tích 45M; ngang lớn 5M; 5 tầng btct; 4 phòng khép kín full nội thất. Sẵn dòng tiền cho thuê tốt.
- Vị trí kinh doanh. Liền kề khuvip ẩm thực Phan Xích Long, công viên Phú Nhuận, chung cư PNTECHCONS, qua sân bay 10phút.
📍Nhỉnh 11 tỷ
☎️***

🌼NHÀ THẬT- GIÁ THẬT - CHÍNH CHỦ🌼
#bannhaphunhuangiathat #bannhaphunhuan #bannhaquan1",0961999283,"Nhà ngõ, hẻm",45 m²,,"244,44 triệu/m²",,4 phòng,,,,,,,,,,"[195.86, 195.86, 176.19, 176.19, 171.71, 154.96, 154.96, 154.96, 136.18, 158.41, 174.71, 174.71, 174.71]"
"VỊ TRÍ VÀNG HIẾM CÓ - Khu ẩm thực Phan Xích Long, gần Coop Rạch Miễu",10 tỷ,"169,21 triệu/m²",59.1 m²,"71/43, Đường Nguyễn Công Hoan, Phường 7, Quận Phú Nhuận, Tp Hồ Chí Minh (Phường Cầu Kiệu, TP Hồ Chí Minh mới)","• Diện tích: Gần 60m²
• Kết cấu: 1 trệt 2 lầu, 4PN, 4WC
• Hướng: Tây Bắc
• Vị trí: Nằm trong khu dân trí cao, an ninh, gần trường Cầu Kiệu, Bệnh viện Hoàn Mỹ. Thích hợp vừa ở vừa kinh doanh online hoặc cho thuê.
• Giá: 10 tỷ.
Đừng bỏ lỡ cơ hội sở hữu căn nhà cực kỳ tiềm năng này.
Gọi ngay *** để xem nhà!
________________________________________",0909044701,"Nhà ngõ, hẻm",59.1 m²,150 m²,"169,21 triệu/m²",Đã có sổ,4 phòng,4 phòng,4,Hoàn thiện cơ bản,Tây Bắc,Hẻm xe hơi,3.3 m,18 m,,,"[171.05, 171.05, 171.05, 171.05, 171.05, 171.05, 162.22, 147.62, 151.11, 173.14, 173.14, 199.55, 199.55]"
MẶT TIỀN THÍCH QUẢNG ĐỨC. 40m2 DT 26TR/T G11 tỷ 3,"11,3 tỷ","282,50 triệu/m²",40 m²,"Đường Thích Quảng Đức, Phường 4, Quận Phú Nhuận, Tp Hồ Chí Minh (Phường Đức Nhuận, TP Hồ Chí Minh mới)","CHỦ GẤP BÁN GIẢM 700TR GIÁ MỚI 11 TỶ 3

Thích Quảng Đức ,Phường 4 Phú Phú Nhuận 

VỊ TRÍ TUYỆT ĐẸP SẦM UẤT NHẤT THÍCH QUẢNG ĐỨC .

Nhà đối diện trưởng học kinh doanh buôn bán khỏi chê, hiện tại nhà đang cho thuê 26tr/t , dòng tiền ổn định. Hết hạn thuê 31/5/2026 có thể gia hạn, or khách mua chuyển đổi hợp đồng thuê.
Diện tích: 3,2 x 13, công nhận 40 chuẩn, 1 trệt 1 lầu nói chung nhà mua về để nguyên cho thuê or xây dựng mới là tuyệt vời.
Hãy gọi Mr. Quý nhé",0962961239,"Nhà mặt phố, mặt tiền",40 m²,80 m²,"282,50 triệu/m²",Đã có sổ,2 phòng,2 phòng,2,Nội thất đầy đủ,,,3.2 m,13 m,,,[]
Khu VIP Hồ Biểu Chánh - 3 Tầng 3PN Full Nội Thất Hẻm 6m Chỉ 5ty95,"5,95 tỷ","198,33 triệu/m²",30 m²,"Hồ Biểu CHánh, Phường 11, Quận Phú Nhuận, Tp Hồ Chí Minh (Phường Phú Nhuận, TP Hồ Chí Minh mới)","5.XTY BL - NHÀ MỚI ĐẸP NGAY HỒ BIỂU CHÁNH VIP PHÚ NHUẬN - 3PN FULL NỘI THẤT - SÁT HẺM XE HƠI - TẶNG FULL NỘI THẤT NHƯ HÌNH 
☎️ Bấm *** ALO ngay cho Quân
👉 Nhận Ký, Gửi - Tư Vấn,Hỗ trợ tìm Nhà Phố miễn phí các Quận Trung Tâm TP.HCM",,"Nhà ngõ, hẻm",30 m²,,"198,33 triệu/m²",,3 phòng,,,Nội thất cao cấp,,Hẻm xe hơi,,,,,"[153.22, 153.22, 151.74, 157.62, 157.62, 168.18, 146.15, 215, 153.73, 153.73, 153.73, 153.73, 153.73]"
Biệt thự Huỳnh văn Bánh HXH 190m2 5 Tầng Thang Máy chỉ 29.5 tỷ,"29,5 tỷ","155,26 triệu/m²",190 m²,"Đường Huỳnh Văn Bánh, Phường 11, Quận Phú Nhuận, Tp Hồ Chí Minh (Phường Phú Nhuận, TP Hồ Chí Minh mới)","Siêu Biệt thự Phú Nhuận gần 190m2.

9 x 22m - 5 Tầng.

7 phòng 10 WC.
Nội Thất cao cấp - Thang máy.
HXH 7 chỗ. 5M ra mặt tiền.

Giá 29.5 tỷ
Lh a Khoa",0987953195,Nhà biệt thự,190 m²,,"155,26 triệu/m²",Đã có sổ,7 phòng,Nhiều hơn 6 phòng,5,Nội thất cao cấp,,Hẻm xe hơi,9 m,22 m,,,[]
KHUVIP HẺM XE HƠI THÔNG NGUYỄN VĂN TRỖI- HỒ BIỂU CHÁNH HĐ ~60Tr/th 5M,"15,89 tỷ","264,83 triệu/m²",60 m²,"Đường Nguyễn Văn Trỗi, Phường 8, Quận Phú Nhuận, Tp Hồ Chí Minh (Phường Phú Nhuận, TP Hồ Chí Minh mới)","🌸🌸🌸HAPPY NEW YEAR🌸🌸🌸
🏡🚘KHUVIP HẺM XE HƠI THÔNG NGUYỄN VĂN TRỖI- HỒ BIỂU CHÁNH- PHÚ NHUẬN
 • Diện tích 60M (4 x 15)M, 5 tầng btct ban công rộng. Vị trí toàn biệt thự.
 • Sẵn hợp đồng thuê siêu tốt. Tự khai thác ~60Tr/tháng.
 • Khu vực an ninh, đồng bộ, toàn nhà đẹp, sạch sẽ. Thông thoáng 4 hướng, liền kề Quận 3, Quận 10, Tân Bình. Qua sân bay 5phút.

📍15,89 tỷ
☎️ ***

🌼 NHÀ THẬT - GIÁ THẬT - THƯƠNG LƯỢNG CHÍNH CHỦ 🌼

#bannhaphunhuan #nhaphunhuan
#bannhaquan3
#nguyenvantroi",0961999283,"Nhà ngõ, hẻm",60 m²,,"264,83 triệu/m²",,4 phòng,,,,,,4 m,15 m,,,[]
🏠 SIÊU PHẨM NHÀ ĐẸP – TỔ ẤM BÌNH YÊN! 48m2 2 phòng ngủ đường Lê Văn Sỹ,"4,3 tỷ","89,58 triệu/m²",48 m²,"Đường Lê Văn Sỹ, Phường 10, Quận Phú Nhuận, Tp Hồ Chí Minh (Phường Phú Nhuận, TP Hồ Chí Minh mới)","Bạn đang tìm kiếm một nơi vừa tiện nghi, vừa đủ yên tĩnh để trở về sau ngày dài làm việc? Căn nhà tâm huyết tại Phú Nhuận chính là câu trả lời dành cho bạn!
✨ ĐIỂM VÀNG VỊ TRÍ & TIỆN ÍCH
* Vị trí đắc địa: Nằm ngay khu chợ Trần Hữu Trang, hẻm xe hơi thông thoáng, cách mặt tiền chính chỉ 100m.
* Kết nối hoàn hảo: Chỉ 5 phút di chuyển đến công viên, siêu thị, bệnh viện và các trường học các cấp. Mọi tiện ích cần thiết cho cuộc sống đều ngay sát cửa.
🌱 THIẾT KẾ HIỆN ĐẠI – KHÔNG GIAN XANH MÁT
* Diện tích: 48m2 (ngang 4m). Kết cấu 1 trệt 1 gác lửng.
* Công năng hoàn hảo: 2 phòng ngủ riêng tư, 1 WC nhỏ xinh, phòng khách sang trọng và gian bếp ấm cúng.
* Tràn đầy năng lượng: Nhà có sân trước để xe rộng rãi, hệ thống giếng trời đón ánh sáng tự nhiên và gió trời, mang lại cảm giác thông thoáng và cực kỳ sạch sẽ.
* Khu phố văn minh: Hàng xóm thân thiện, an ninh tuyệt đối, không gian yên tĩnh cực kỳ phù hợp cho gia đình có người già và trẻ nhỏ.
🎁 PHÁP LÝ
* Pháp lý: Sổ hồng riêng chính chủ, công chứng sang tên trong ngày.

💰 GIÁ YÊU THƯƠNG: 4 tỷ 3 (Có thương lượng mạnh cho người mua nhanh).
💌 Xem nhà là ưng ý ngay - Liên hệ chính chủ 24/7: 📞 Hotline: *** - Cô Thu",0907981709,"Nhà ngõ, hẻm",48 m²,48 m²,"89,58 triệu/m²",Đã có sổ,2 phòng,1 phòng,,Hoàn thiện cơ bản,,,4 m,12 m,,,"[152.5, 152.5, 152.5, 152.5, 152.5, 152.5, 152, 152, 152, 152, 152, 152, 152]"
"Ngay ngã tư Phú Nhuận có nhà đẹp ở ngay 18m2_2 tầng_2,95 tỉ còn bớt","2,95 tỷ","163,89 triệu/m²",18 m²,"Đường Huỳnh Văn Bánh, Phường 10, Quận Phú Nhuận, Tp Hồ Chí Minh (Phường Phú Nhuận, TP Hồ Chí Minh mới)","Kết cấu : 1 trệt 1 lầu đầy đủ Công năng : 2 phòng ngủ, 2 WC_ Hẻm thông sạch qua Duy Tân , khu dân trí ,an ninh . Gia chủ tặng full nội thất trong nhà , phù hợp khách về ở ngay , cho thuê giữ tiền...
_ Pháp lý chuẩn, sổ hồng riêng , hoàn công đầy đủ, ko quy hoạch 
Lh ngay *** em Mến chuyên nhà phố quận Phú Nhuận và các quận lân cận đủ các phân khúc",0982962790,"Nhà ngõ, hẻm",18 m²,,"163,89 triệu/m²",Đã có sổ,2 phòng,2 phòng,2,Nội thất đầy đủ,,Nhà nở hậu,3 m,6 m,,,"[190, 190, 181.82, 186.88, 186.88, 187.8, 205.88, 185.88, 185.88, 178.17, 178.17, 178.17, 178.17]"
bán nhà,"10,5 tỷ","205,88 triệu/m²",51 m²,"Đường Cô Giang, Phường 1, Quận Phú Nhuận, Tp Hồ Chí Minh (Phường Cầu Kiệu, TP Hồ Chí Minh mới)","Bán nhà xây 2 căn,nhà 2 mặt tiền,mặt trước đường 3m,mặt sau đường 4,5,xe lớn đậu trước nhà,ngay trung tâm Phan Xích Long Phú Nhuận ,nhà có một phần quy hoạch giao thông ,nếu có phóng đường nha ra 3 mặt tiền,chủ quyền hồng công chứng một nốt nhạc xe tải đậu trước nhà,vị trí nhà rất đẹp ngay trung tâm thành phố gần bệnh viện hoàn mỹ ,trường học ,chợ",,"Nhà mặt phố, mặt tiền",51 m²,51 m²,"205,88 triệu/m²",Đã có sổ,10 phòng,6 phòng,4,Nội thất đầy đủ,,Hẻm xe hơi,7.32 m,8.7 m,,,[]
