gia_ban,loai_hinh,dien_tich_dat,giay_to_phap_ly,so_phong_ngu,so_phong_ve_sinh,tong_so_tang,tinh_trang_noi_that,dac_diem,chieu_ngang,duong_lon,vi_tri_dat,garage,san_vuon,hai_mat_tien,view,vi_tri_trung_tam,truong_hoc,san_bay,benh_vien,sieu_thi,giao_thong,giai_tri,dia_diem_dac_biet,phuong,gia_m2_tham_khao
3850000000.0,"Nhà ngõ, hẻm",36.0,Đã có sổ,2.0,2.0,2.0,Nội thất đầy đủ,Nhà nở hậu,4.5,1,0,0,0,0,0,1,1,1,1,0,0,0,0,Phường Gia Định,140910000.0
9790000000.0,"Nhà ngõ, hẻm",62.0,Chưa xác định,4.0,3.0,3.0,Không rõ,Thông thường,4.0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,Phường Bình Lợi Trung,140000000.0
7200000000.0,"Nhà ngõ, hẻm",54.0,Đã có sổ,3.0,2.0,2.0,Hoàn thiện cơ bản,Hẻm xe hơi,7.0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,Phường Bình Lợi Trung,151050000.0
8500000000.0,"Nhà ngõ, hẻm",83.0,Đã có sổ,3.0,3.0,2.0,Không rõ,Thông thường,7.5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Phường Thạnh Mỹ Tây,150910000.0
2850000000.0,"Nhà ngõ, hẻm",18.0,Đã có sổ,2.0,1.0,2.0,Không rõ,Hiện trạng khác,3.0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,Phường Bình Thạnh,171740000.0
13000000000.0,"Nhà ngõ, hẻm",120.0,Đã có sổ,5.0,3.0,2.0,Không rõ,Thông thường,5.6,0,0,0,0,0,0,0,1,0,0,1,0,0,0,Phường Gia Định,107780000.0
11200000000.0,"Nhà ngõ, hẻm",59.4,Đã có sổ,4.0,4.0,3.0,Không rõ,Hẻm xe hơi,4.2,0,0,0,1,0,0,1,1,1,0,1,0,0,0,Phường Bình Thạnh,176920000.0
11300000000.0,"Nhà ngõ, hẻm",68.0,Đã có sổ,4.0,3.0,4.0,Không rõ,Hẻm xe hơi,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Phường Bình Thạnh,161030000.0
11500000000.0,"Nhà ngõ, hẻm",60.0,Đã có sổ,4.0,3.0,4.0,Không rõ,Hẻm xe hơi,4.5,0,0,0,1,0,0,0,0,0,0,1,0,0,0,Phường Bình Lợi Trung,150450000.0
33900000000.0,"Nhà mặt phố, mặt tiền",88.0,Đã có sổ,6.0,6.0,4.0,Nội thất cao cấp,Nhà nở hậu,4.4,1,0,0,1,0,0,1,1,0,0,0,0,0,0,Phường Thạnh Mỹ Tây,236360000.0
4700000000.0,"Nhà ngõ, hẻm",48.0,Chưa xác định,3.0,2.0,3.0,Không rõ,Thông thường,4.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Phường Bình Lợi Trung,151410000.0
9300000000.0,"Nhà ngõ, hẻm",70.0,Đã có sổ,5.0,4.0,3.0,Hoàn thiện cơ bản,Hẻm xe hơi,5.0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,Phường Gia Định,139530000.0
10800000000.0,"Nhà ngõ, hẻm",130.0,Đã có sổ,10.0,6.0,2.0,Hoàn thiện cơ bản,Thông thường,4.5,0,1,0,0,0,0,1,1,0,1,0,0,0,0,Phường Gia Định,175000000.0
8000000000.0,"Nhà ngõ, hẻm",48.9,Đã có sổ,3.0,3.0,3.0,Không rõ,Hẻm xe hơi,3.2,0,0,0,0,0,0,0,1,0,0,1,0,0,0,Phường Bình Thạnh,147500000.0
11000000000.0,"Nhà ngõ, hẻm",92.0,Đã có sổ,5.0,5.0,4.0,Hoàn thiện cơ bản,Hẻm xe hơi,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Phường Bình Lợi Trung,151410000.0
2850000000.0,"Nhà ngõ, hẻm",20.0,Chưa xác định,2.0,1.0,2.0,Không rõ,Hiện trạng khác,3.0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,Phường Bình Thạnh,171740000.0
6400000000.0,"Nhà ngõ, hẻm",40.0,Đã có sổ,3.0,4.0,4.0,Nội thất đầy đủ,Hẻm xe hơi,5.0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,Phường Bình Thạnh,147060000.0
6400000000.0,"Nhà ngõ, hẻm",72.0,Đã có sổ,6.0,6.0,2.0,Nội thất đầy đủ,Thông thường,7.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Phường Thạnh Mỹ Tây,121950000.0
5959000000.0,"Nhà ngõ, hẻm",34.0,Đã có sổ,2.0,2.0,2.0,Nội thất cao cấp,Hiện trạng khác,3.0,1,0,0,1,0,0,1,1,1,0,1,0,0,0,Phường Bình Lợi Trung,157600000.0
25200000000.0,"Nhà ngõ, hẻm",110.0,Đã có sổ,10.0,6.0,5.0,Không rõ,Hẻm xe hơi,4.2,0,1,0,1,0,0,1,1,1,0,1,0,1,0,Phường Bình Thạnh,176920000.0
3680000000.0,"Nhà ngõ, hẻm",18.0,Đã có sổ,2.0,3.0,2.0,Không rõ,Thông thường,4.0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,Phường Thạnh Mỹ Tây,146500000.0
8000000000.0,"Nhà ngõ, hẻm",63.6,Đã có sổ,5.0,4.0,4.0,Nội thất đầy đủ,Thông thường,5.2,0,0,0,1,0,0,1,0,0,0,1,0,0,0,Phường Bình Thạnh,110000000.0
